Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;Fraction of category for country
PL_A;KARO-1_ST_COAL_EXT;GEXT;27.81679642;6;9;1;0.29;0.3;0.588;COAL;2.572688462;94.6;0.001460736
PL_A;KOZI-1_ST_COAL_EXT;GEXT;115.9033184;6;9;1;0.55;0.39;0.7644;COAL;2.572688462;94.6;0.0060864
PL_A;KRLEG-3_ST_COAL_EXT;GEXT;110.6876691;6;9;1;0.4;0.33;0.6468;COAL;2.572688462;94.6;0.005812512
PL_A;LAZI-1_ST_COAL_EXT;GEXT;66.64440809;6;9;1;0.386;0.4;0.784;COAL;2.572688462;94.6;0.00349968
PL_A;LODZ-3_ST_STRAW_EXT;GEXT;13.41462576;6;9;1;0.24;0.29;0.2842;STRAW;6.162678302;0;0.016949153
PL_A;MIEC_ST_COAL_EXT;GEXT;27.81679642;6;9;1;0.14;0.13;0.2548;COAL;2.572688462;94.6;0.001460736
PL_A;RYBN-1_ST_COAL_EXT;GEXT;119.380418;6;9;1;3.4;0.25;0.49;COAL;2.572688462;94.6;0.006268992
PL_A;SIEK-1_ST_COAL_EXT;GEXT;26.07824664;6;9;1;0.29;0.28;0.5488;COAL;2.572688462;94.6;0.00136944
PL_A;SIEK-8_ST_COAL_EXT;GEXT;110.6876691;6;9;1;0.29;0.28;0.5488;COAL;2.572688462;94.6;0.005812512
PL_A;ZABR-1_ST_COAL_EXT;GEXT;16.22646458;6;9;1;0.08;0.18;0.3528;COAL;2.572688462;94.6;0.000852096
PL_A;ZABR-2_ST_COAL_EXT;GEXT;17.38549776;6;9;1;0.1;0.18;0.3528;COAL;2.572688462;94.6;0.00091296
PL_A;ZERA-7_ST_COAL_EXT;GEXT;48.67939373;6;9;1;0.13;0.24;0.4704;COAL;2.572688462;94.6;0.002556288
PL_A;ZERA-8_ST_COAL_EXT;GEXT;48.67939373;6;9;1;0.13;0.24;0.4704;COAL;2.572688462;94.6;0.002556288
PL_Rural;GNR_ROR_WTR;GHYRR;3472;6;9;0;0;1;0;WATER;0;0;
PL_Rural;ADAM-2_ST_LIGNITE_CON;GCND;334.7953894;6;9;1;0;0.3;1.96;LIGNITE;0.883939334;111.1;0.017581021
PL_Rural;BELC-2_ST_LIGNITE_CON;GCND;2114.150557;6;9;1;0;0.35;1.96;LIGNITE;0.883939334;111.1;0.111019827
PL_Rural;DOLN-2_ST_COAL_CND;GCND;825.8111438;6;9;1;0;0.35;1.96;COAL;2.572688462;94.6;0.043365601
PL_Rural;GNR_ST_NUCL_CND_E-33;GCND;0;6;9;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0;
PL_Rural;KOZI-2_ST_COAL_CND;GCND;738.8836548;6;9;1;0;0.35;1.96;COAL;2.572688462;94.6;0.038800801
PL_Rural;LAZI-2_ST_COAL_CND;GCND;543.5865633;6;9;1;0;0.34;1.96;COAL;2.572688462;94.6;0.028545217
PL_Rural;LAZI-6_ST_COAL_CND;GCND;247.4535848;6;9;1;0;0.45;1.96;COAL;2.572688462;94.6;0.012994464
PL_Rural;OPOL-1_ST_COAL_CND;GCND;822.9135606;6;9;1;0;0.4;1.96;COAL;2.572688462;94.6;0.043213441
PL_Rural;OSTRB-1_ST_COAL_CND;GCND;398.7074153;6;9;1;0;0.35;1.96;COAL;2.572688462;94.6;0.020937217
PL_Rural;PATN2-1_ST_LIGNITE_CON;GCND;242.0406012;6;9;1;0;0.41;1.96;LIGNITE;0.883939334;111.1;0.012710214
PL_Rural;POLA-2_ST_COAL_CND;GCND;959.6794768;6;9;1;0;0.38;1.96;COAL;2.572688462;94.6;0.050395393
PL_Rural;RYBN-2_ST_COAL_CND;GCND;1536.298486;6;9;1;0;0.35;1.96;COAL;2.572688462;94.6;0.080675234
