Area;Generator;Type;Capacity;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity
PL_A;GNR_ST_FUELOIL_BP_E-15;GBPR;220;9;1;0.2;0.9;0.12054;FUELOIL;12.10029189;74;0.15;36.66666667
PL_A;GNR_ST_STRAW_BP_E-15;GBPR;82;9;1;0.2;0.9;0.147;STRAW;7.160252815;0;0.15;13.66666667
PL_A;GNR_ST_WOODWST_BP_E-53;GBPR;250;9;1;0.13;1.06;0.208595787;WOODWASTE;0.650553327;0;0.121946903;28.76106195
PL_A;GORZ-4_ST_NGAS_BP;GBPR;52;9;1;0.5;0.9;0.459;NATGAS;8.324130812;56.1;0.3;17.33333333
PL_A;JAWO2-1_ST_COAL_BP;GBPR;2171;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;723.6666667
PL_A;KARO-2_ST_COAL_BP;GBPR;198;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;66
PL_A;KATO_ST_COAL_BP;GBPR;123;9;1;0.7;0.898571429;0.7252;COAL;2.672923077;94.6;0.37;50.64705882
PL_A;KRLEG-1_ST_COAL_BP;GBPR;215;9;1;0.6;0.906666667;0.6664;COAL;2.672923077;94.6;0.34;80.625
PL_A;NOWA-1_ST_NGAS_BP;GBPR;127;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;63.5
PL_A;RZES-2_ST_NGAS_BP;GBPR;32;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;16
PL_A;SIEK-1_ST_COAL_BP;GBPR;312;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;96.82758621
PL_A;SIER-1_ST_COAL_BP;GBPR;623;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;311.5
PL_A;SKAW-1_ST_COAL_BP;GBPR;777;9;1;0.7;0.607142857;0.49;COAL;2.672923077;94.6;0.25;319.9411765
PL_A;TYCH_ST_COAL_BP;GBPR;36;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;12
PL_A;ZABR-3_ST_COAL_BP;GBPR;10;9;1;0.26;0.920769231;0.3724;COAL;2.672923077;94.6;0.19;2.063492063
PL_A;ZIEL-1_ST_NGAS_BP;GBPR;10;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;5
PL_A;ZIEL-2_ST_COAL_BP;GBPR;11;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;5.5
PL_A;ZIEL-3_ST_NGAS_BP;GBPR;120;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;60
PL_A;ZIEL-4_ST_COAL_BP;GBPR;60;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;30
PL_A;GNR_ST_MSW_BP_E-15;GBPR;34;9;1;0.2;0.9;3.6456;MUNIWASTE;-3.259066353;35;0.15;5.666666667
PL_A;GNR_ST_NGAS_BP_E-15;GBPR;142;9;1;0.2;0.9;0.2295;NATGAS;8.324130812;56.1;0.15;23.66666667
PL_Rural;SZCZ-1_ST_COAL_BP;GBPR;55;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;17.06896552
PL_Rural;TURO-1_ST_COAL_BP;GBPR;1362;9;1;2;0.3;0.392;COAL;2.672923077;94.6;0.2;908
