Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
DE4-N_A;GNR_ST_NGAS_BP_E-38;GBPR;32.62628744;2;5;1;0.7;0.922857143;0.305368;NATGAS;7.64658528;56.1;0.38;13.43435365;0.000898867
DK1_Large;GNR_ENG_BGAS_BP_E-36;GBPR;2.164872987;3;6;1;0.82;0.79902439;2.8224;BIOGAS;12.71578864;0;0.36;0.975382335;0.002604652
DK1_Large;GNR_ENG_BGAS_BP_E-37;GBPR;0;3;6;1;0.82;0.821219512;2.9008;BIOGAS;12.71578864;0;0.37;0;0
DK1_Large;GNR_ENG_BGAS_BP_E-39;GBPR;6.975703049;3;6;1;0.82;0.865609756;3.0576;BIOGAS;12.71578864;0;0.39;3.142899176;0.008392769
DK1_Large;GNR_ENG_BGAS_BP_E-40;GBPR;0.954147515;3;6;1;0.82;0.887804878;3.136;BIOGAS;12.71578864;0;0.4;0.429890639;0.001147976
DK1_Large;GNR_ENG_BGAS_BP_E-41;GBPR;3.955571033;3;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;1.782180355;0.004759118
DK1_Large;GNR_ENG_BGAS_BP_E-42;GBPR;4.917736713;3;6;1;0.82;0.932195122;3.2928;BIOGAS;12.71578864;0;0.42;2.215683574;0.005916741
DK1_Large;GNR_ENG_BGAS_BP_E-43;GBPR;8.143665528;3;6;1;0.82;0.954390244;3.3712;BIOGAS;12.71578864;0;0.43;3.669124029;0.009797995
DK1_Large;GNR_ENG_LIGHTOIL_BP_E-37;GBPR;91.04868065;3;6;1;0.9;0.781111111;1.95804;LIGHTOIL;13.27018506;74;0.37;43.12832241;0.364547733
DK1_Large;GNR_ENG_NGAS_BP_E-34;GBPR;0;3;6;1;0.9;0.717777778;1.79928;NATGAS;7.64658528;56.1;0.34;0;0
DK1_Large;GNR_ENG_NGAS_BP_E-38;GBPR;10.76830398;3;6;1;0.9;0.802222222;2.01096;NATGAS;7.64658528;56.1;0.38;5.100775569;0.009898513
DK1_Large;GNR_ENG_NGAS_BP_E-39;GBPR;13.60748813;3;6;1;0.9;0.823333333;2.06388;NATGAS;7.64658528;56.1;0.39;6.445652271;0.012508367
DK1_Large;GNR_ENG_NGAS_BP_E-40;GBPR;0;3;6;1;0.9;0.844444444;2.1168;NATGAS;7.64658528;56.1;0.4;0;0
DK1_Large;GNR_ENG_NGAS_BP_E-41;GBPR;0;3;6;1;0.9;0.865555556;2.16972;NATGAS;7.64658528;56.1;0.41;0;0
DK1_Large;GNR_ENG_NGAS_BP_E-42;GBPR;8.311601086;3;6;1;0.9;0.886666667;2.22264;NATGAS;7.64658528;56.1;0.42;3.937074199;0.007640246
DK1_Large;GNR_ENG_NGAS_BP_E-43;GBPR;33.06251827;3;6;1;0.9;0.907777778;2.27556;NATGAS;7.64658528;56.1;0.43;15.66119286;0.030391951
DK1_Large;GNR_ENG_NGAS_BP_E-44;GBPR;0;3;6;1;0.9;0.928888889;2.32848;NATGAS;7.64658528;56.1;0.44;0;0
DK1_Large;GNR_ENG_NGAS_BP_E-46;GBPR;2.684720628;3;6;1;0.9;0.971111111;2.43432;NATGAS;7.64658528;56.1;0.46;1.271709771;0.002467867
DK1_Large;GNR_ST_MSW_BP_E-22;GBPR;211;3;6;1;0.295760708;0.96384458;5.34688;MUNIWASTE;-3.259066353;35;0.22;0;1
DK1_Large;GNR_ST_STRW_BP_E-26;GBPR;82.85317506;3;6;1;0.444656474;0.844721049;0.2548;STRAW;6.162678302;0;0.26;25.50170324;0.099684226
DK1_Large;GNR_ST_WOODCHI_BP_E-23;GBPR;20.04512262;3;6;1;0.34;0.906470588;0.85652;WOODCHIPS;6.2;0;0.23;5.08607589;0.024117151
DK1_Large;GNR_ST_WOODCHI_BP_E-30;GBPR;245.8868423;3;6;1;0.34;1.182352941;1.1172;WOODCHIPS;6.2;0;0.3;62.38919879;0.295837058
DK1_MedSmall;GNR_ENG_NGAS_BP_E-35;GBPR;0;3;6;1;0.9;0.738888889;1.8522;NATGAS;7.64658528;56.1;0.35;0;0
DK1_MedSmall;GNR_ENG_NGAS_BP_E-37;GBPR;0;3;6;1;0.9;0.781111111;1.95804;NATGAS;7.64658528;56.1;0.37;0;0
